HR,EDA,TEMP,Label
75.0,0.279289,33.92,0
75.0,0.305747,33.93,0
75.0,0.272196,33.93,0
75.0,0.307315,33.86,0
75.0,0.301768,33.87,0
75.0,0.299816,33.91,0
75.0,0.306989,33.91,0
75.0,0.296873,33.91,0
75.0,0.296873,34.03,0
75.0,0.305533,33.87,0
75.0,0.303215,33.98,0
75.0,0.306921,33.98,0
75.0,0.314798,33.96,0
70.0,0.314798,33.96,0
70.0,0.31083,33.84,0
70.0,0.293132,33.84,0
70.0,0.293132,33.97,0
70.0,0.279469,33.97,0
70.0,0.279469,33.91,0
70.0,0.28219,33.91,0
70.0,0.289135,33.89,0
70.0,0.290694,33.92,0
70.0,0.303891,33.89,0
73.0,0.303891,33.89,0
73.0,0.303731,33.89,0
73.0,0.303731,33.88,0
73.0,0.302727,33.88,0
73.0,0.319806,33.95,0
73.0,0.368602,33.87,0
73.0,0.345941,33.87,0
73.0,0.345941,33.87,0
81.0,0.345941,33.87,0
81.0,0.350015,33.87,0
81.0,0.328274,33.98,0
81.0,0.323044,34.03,0
81.0,0.285269,34.01,0
81.0,0.290003,34.01,0
81.0,0.26798,33.97,0
81.0,0.306637,33.97,0
81.0,0.306637,33.99,0
81.0,0.305868,34.03,0
81.0,0.303241,33.94,0
79.0,0.303241,33.94,0
79.0,0.265961,33.94,0
79.0,0.276932,34.01,0
79.0,0.288835,34.0,0
79.0,0.282122,33.86,0
79.0,0.289822,33.86,0
79.0,0.298056,33.87,0
79.0,0.28801,33.91,0
79.0,0.313238,33.82,0
79.0,0.283155,33.82,0
79.0,0.284266,33.82,0
79.0,0.284266,33.96,0
79.0,0.279357,33.98,0
79.0,0.293689,33.92,0
79.0,0.294348,33.92,0
79.0,0.295913,33.93,0
79.0,0.30861,33.97,0
79.0,0.295398,34.02,0
79.0,0.283374,34.02,0
79.0,0.293491,34.04,0
79.0,0.302674,34.02,0
68.0,0.302674,34.02,0
68.0,0.293776,34.02,0
68.0,0.293776,34.01,0
68.0,0.283733,33.86,0
68.0,0.280359,33.86,0
68.0,0.289568,33.87,0
68.0,0.281585,33.91,0
68.0,0.287986,33.91,0
68.0,0.287986,33.89,0
68.0,0.233425,33.89,0
74.0,0.233425,33.89,0
74.0,0.220518,33.95,0
74.0,0.225297,33.98,0
74.0,0.238844,33.98,0
74.0,0.238844,33.92,0
74.0,0.294897,33.92,0
74.0,0.280574,33.92,0
74.0,0.280574,34.07,0
74.0,0.2813,34.07,0
74.0,0.244331,33.99,0
76.0,0.244331,33.99,0
76.0,0.261737,33.99,0
76.0,0.302687,34.0,0
76.0,0.284872,34.0,0
76.0,0.336795,34.0,0
76.0,0.336795,33.86,0
76.0,0.281585,33.86,0
76.0,0.281585,34.01,0
76.0,0.295687,34.0,0
76.0,0.276822,34.0,0
76.0,0.290354,34.04,0
76.0,0.286644,34.05,0
72.0,0.286644,34.05,0
72.0,0.288499,34.05,0
72.0,0.288499,34.09,0
72.0,0.277506,34.09,0
72.0,0.291486,33.9,0
72.0,0.301912,34.03,0
72.0,0.287153,34.03,0
72.0,0.287153,34.05,0
72.0,0.297203,34.05,0
72.0,0.32243,33.99,0
76.0,0.32243,33.99,0
76.0,0.307995,33.99,0
76.0,0.269673,34.03,0
76.0,0.290755,34.03,0
76.0,0.302004,34.03,0
76.0,0.302004,34.01,0
76.0,0.31587,34.04,0
76.0,0.289339,34.09,0
76.0,0.287866,34.09,0
76.0,0.295712,34.07,0
76.0,0.283052,34.07,0
76.0,0.283052,34.0,0
76.0,0.299352,34.07,0
76.0,0.311317,34.07,0
71.0,0.311317,34.07,0
71.0,0.280031,34.07,0
71.0,0.280031,34.06,0
71.0,0.29903,34.03,0
71.0,0.298274,33.94,0
71.0,0.295762,33.9,0
71.0,0.286397,33.9,0
71.0,0.304636,33.96,0
71.0,0.295097,33.96,0
71.0,0.295097,33.98,0
71.0,0.307668,33.98,0
71.0,0.307668,34.06,0
71.0,0.294198,34.06,0
70.0,0.294198,34.06,0
70.0,0.29876,33.99,0
70.0,0.318357,34.07,0
70.0,0.313846,34.03,0
96.0,0.313846,34.03,0
96.0,0.29812,34.03,0
96.0,0.286928,34.05,0
96.0,0.313436,34.06,0
96.0,0.290998,34.06,0
96.0,0.303255,34.06,0
96.0,0.282683,33.99,0
97.0,0.282683,33.99,0
97.0,0.305559,34.03,0
97.0,0.282798,34.05,0
97.0,0.309654,34.06,0
123.0,0.309654,34.06,0
123.0,0.321714,34.06,0
123.0,0.313832,34.03,0
123.0,0.292061,34.08,0
123.0,0.306017,34.03,0
123.0,0.273921,34.03,0
123.0,0.301075,34.01,0
123.0,0.291217,34.15,0
123.0,0.321938,34.1,0
123.0,0.278987,33.97,0
123.0,0.306273,33.97,0
123.0,0.29511,34.06,0
123.0,0.285409,34.06,0
123.0,0.296354,34.06,0
123.0,0.296354,34.03,0
123.0,0.292516,34.03,0
123.0,0.291791,34.12,0
123.0,0.317282,34.05,0
123.0,0.298632,34.02,0
123.0,0.302569,34.02,0
123.0,0.305506,34.01,0
123.0,0.301715,34.04,0
123.0,0.310608,33.91,0
123.0,0.303957,33.96,0
123.0,0.295963,33.96,0
123.0,0.303294,34.05,0
123.0,0.304676,34.06,0
123.0,0.283988,33.99,0
123.0,0.310414,33.99,0
123.0,0.294747,34.0,0
123.0,0.318051,34.03,0
123.0,0.307559,34.01,0
123.0,0.302766,34.01,0
123.0,0.294585,34.08,0
123.0,0.287688,34.14,0
123.0,0.291034,34.06,0
123.0,0.316488,34.06,0
123.0,0.312802,34.06,0
123.0,0.27775,34.03,0
123.0,0.318868,34.01,0
123.0,0.281573,34.01,0
123.0,0.309834,34.01,0
123.0,0.300724,34.04,0
123.0,0.304249,33.98,0
123.0,0.309104,34.06,0
123.0,0.283721,34.06,0
123.0,0.299429,34.1,0
123.0,0.2882,33.97,0
123.0,0.301297,33.92,0
123.0,0.28952,33.92,0
123.0,0.29638,34.0,0
123.0,0.300932,33.96,0
123.0,0.296039,34.02,0
123.0,0.311513,34.02,0
123.0,0.284627,34.04,0
123.0,0.294348,34.06,0
123.0,0.292184,34.02,0
123.0,0.284104,33.97,0
123.0,0.307804,33.97,0
123.0,0.297127,33.99,0
123.0,0.305372,33.99,0
98.0,0.305372,33.99,0
98.0,0.28219,33.99,0
98.0,0.28219,34.0,0
98.0,0.292233,34.0,0
98.0,0.298594,34.0,0
98.0,0.289725,33.96,0
98.0,0.314613,33.98,0
98.0,0.291278,34.03,0
98.0,0.308063,34.03,0
98.0,0.299649,34.01,0
92.0,0.299649,34.01,0
92.0,0.313478,34.08,0
92.0,0.292442,34.08,0
92.0,0.292442,34.1,0
92.0,0.302582,34.1,0
92.0,0.298825,34.01,0
92.0,0.321239,34.08,0
92.0,0.283663,34.07,0
92.0,0.29016,34.07,0
89.0,0.29016,34.07,0
89.0,0.288416,34.03,0
89.0,0.302122,34.08,0
89.0,0.299855,34.0,0
89.0,0.292479,34.0,0
89.0,0.316748,33.89,0
89.0,0.308077,33.92,0
89.0,0.30568,33.97,0
89.0,0.307968,33.97,0
89.0,0.317659,33.99,0
89.0,0.305573,34.03,0
89.0,0.297788,34.12,0
89.0,0.303374,34.12,0
89.0,0.303374,34.05,0
81.0,0.303374,34.05,0
81.0,0.300334,34.05,0
81.0,0.302687,33.95,0
81.0,0.28832,34.01,0
